condition,model,n,n_scored,qwk,ci_lo,ci_hi,exact_pct,model_offscale_pct
decomposed,gemini37f,144,140,0.704,0.546,0.847,89.6,1.4
decomposed,grok46,144,140,0.67,0.505,0.817,87.5,0.7
decomposed,kimi25,144,140,0.645,0.469,0.81,87.5,1.4
decomposed,qwen38max,144,140,0.584,0.412,0.747,85.4,2.1
decomposed,qwen3827b,144,140,0.576,0.404,0.737,85.4,2.1
decomposed,gemini3f,144,140,0.532,0.331,0.727,83.3,0.7
decomposed,haiku45,144,138,0.492,0.307,0.662,75.7,2.8
decomposed,sonnet5,144,140,0.485,0.316,0.648,78.5,1.4
decomposed,gpt52,144,140,0.48,0.306,0.645,77.8,0.7
decomposed,kimi3,144,139,0.425,0.24,0.595,74.3,1.4
decomposed,sonnet46,144,140,0.402,0.209,0.582,76.4,0.7
decomposed,gpt56sol,144,140,0.37,0.204,0.526,72.9,2.1
decomposed,gemma27b,144,140,0.314,0.126,0.504,66.7,0.0
decomposed,gpt56luna,144,139,0.297,0.132,0.465,72.2,1.4
naive,gemini37f,144,140,0.646,0.462,0.81,86.8,2.1
naive,gpt52,144,139,0.572,0.389,0.735,81.2,2.8
naive,gemini3f,142,138,0.57,0.376,0.738,83.8,0.7
naive,gpt56luna,144,137,0.562,0.388,0.718,81.2,4.9
naive,kimi3,144,139,0.541,0.388,0.686,76.4,1.4
naive,gpt56sol,144,139,0.482,0.297,0.658,79.2,3.5
naive,grok46,144,139,0.473,0.31,0.64,79.2,3.5
naive,qwen3827b,144,138,0.471,0.299,0.641,77.8,3.5
naive,kimi25,144,139,0.446,0.274,0.615,75.7,2.8
naive,qwen38max,144,140,0.392,0.208,0.573,79.2,2.8
naive,sonnet5,144,137,0.323,0.167,0.478,63.2,4.2
naive,gemma27b,144,140,0.284,0.126,0.445,68.8,0.0
naive,sonnet46,144,137,0.243,0.124,0.366,54.2,2.8
naive,haiku45,144,134,-0.069,-0.146,0.006,38.9,6.2
