model,sample_id,first_recorded_mismatch,final_match
gemini37f,S001,none,True
gemini37f,S002,none,True
gemini37f,S003,none,True
gemini37f,S004,none,True
gemini37f,S005,annex_iii,False
gemini37f,S006,none,True
gemini37f,S007,annex_iii,False
gemini37f,S008,none,True
gemini37f,S009,none,True
gemini37f,S010,none,True
gemini37f,S011,art5,False
gemini37f,S012,none,True
gemini37f,S013,annex_iii,False
gemini37f,S014,none,True
gemini37f,S015,none,True
gemini37f,S016,none,True
gemini37f,S017,none,True
gemini37f,S018,none,True
gemini37f,S020,none,True
gemini37f,S021,none,True
gemini37f,S022,profiling,True
gemini37f,S023,profiling,True
gemini37f,S024,none,True
gemini37f,S025,annex_iii,True
gemini37f,S027,none,True
gemini37f,S029,none,True
gemini37f,S030,none,True
gemini37f,S031,none,True
gemini37f,S032,art5,True
gemini37f,S033,art5,False
gemini37f,S034,none,True
gemini37f,S035,none,True
gemini37f,S036,art50,True
gemini37f,S037,none,True
gemini37f,S038,none,True
gemini37f,S039,profiling,True
gemini37f,S040,none,True
gemini37f,S042,none,True
gemini37f,S043,profiling,True
gemini37f,S044,none,True
gemini37f,S045,none,True
gemini37f,S046,profiling,True
gemini37f,S047,profiling,True
gemini37f,S048,none,True
gemini37f,S049,none,True
gemini37f,S050,none,True
gemini37f,S051,none,True
gemini37f,S052,none,True
gemini37f,S053,art5,True
gemini37f,S054,none,True
gemini37f,S055,none,True
gemini37f,S056,art5,True
gemini37f,S057,none,True
gemini37f,S058,none,True
gemini37f,S060,art50,True
gemini37f,S061,profiling,True
gemini37f,S062,none,True
gemini37f,S063,none,True
gemini37f,S064,none,True
gemini37f,S065,none,True
gemini37f,S066,annex_iii,False
gemini37f,S068,none,True
gemini37f,S069,art5,False
gemini37f,S070,none,True
gemini37f,S071,none,True
gemini37f,S072,art5,False
gemini37f,S073,none,True
gemini37f,S074,none,True
gemini37f,S075,none,True
gemini37f,S076,none,True
gemini37f,S077,none,True
gemini37f,S078,none,True
gemini37f,S079,none,True
gemini37f,S080,none,True
gemini37f,S081,none,True
gemini37f,S082,none,True
gemini37f,S083,none,True
gemini37f,S084,none,True
gemini37f,S085,none,True
gemini37f,S086,none,True
gemini37f,S087,none,True
gemini37f,S088,none,True
gemini37f,S089,none,True
gemini37f,S090,none,True
gemini37f,S091,none,True
gemini37f,S092,art5,True
gemini37f,S093,art5,False
gemini37f,S094,none,True
gemini37f,S095,art5,False
gemini37f,S096,none,True
gemini37f,S097,none,True
gemini37f,S098,none,True
gemini37f,S099,none,True
gemini37f,S100,none,True
gemini37f,S101,none,True
gemini37f,S102,none,True
gemini37f,S103,none,True
gemini37f,S104,none,True
gemini37f,S105,none,True
gemini37f,S106,art5,False
gemini37f,S107,none,True
gemini37f,S108,none,True
gemini37f,S109,none,True
gemini37f,S110,annex_i,True
gemini37f,S111,none,True
gemini37f,S112,none,True
gemini37f,S113,none,True
gemini37f,S114,none,True
gemini37f,S115,none,True
gemini37f,S116,none,True
gemini37f,S117,none,True
gemini37f,S118,none,True
gemini37f,S119,none,True
gemini37f,S120,annex_iii,True
gemini37f,S121,none,True
gemini37f,S122,none,True
gemini37f,S123,art5,False
gemini37f,S124,none,True
gemini37f,S125,none,True
gemini37f,S126,none,True
gemini37f,S127,none,True
gemini37f,S128,none,True
gemini37f,S129,none,True
gemini37f,S130,none,True
gemini37f,S131,art5,False
gemini37f,S132,none,True
gemini37f,S133,none,True
gemini37f,S134,none,True
gemini37f,S135,none,True
gemini37f,S136,none,True
gemini37f,S137,none,True
gemini37f,S138,none,True
gemini37f,S139,none,True
gemini37f,S140,annex_i,False
gemini37f,S141,none,True
gemini37f,S142,annex_iii,True
gemini37f,S143,art5,False
gemini37f,S144,none,True
gemini37f,S145,none,True
gemini37f,S146,none,True
gemini37f,S147,none,True
gemini37f,S148,none,True
gemini37f,S149,none,True
gemini37f,S150,none,True
gemini3f,S001,none,True
gemini3f,S002,none,True
gemini3f,S003,none,True
gemini3f,S004,none,True
gemini3f,S005,profiling,True
gemini3f,S006,none,True
gemini3f,S007,art50,True
gemini3f,S008,missing_step,True
gemini3f,S009,annex_iii,True
gemini3f,S010,annex_iii,True
gemini3f,S011,annex_iii,False
gemini3f,S012,none,True
gemini3f,S013,none,True
gemini3f,S014,none,True
gemini3f,S015,none,True
gemini3f,S016,annex_iii,True
gemini3f,S017,annex_iii,True
gemini3f,S018,annex_iii,False
gemini3f,S020,none,True
gemini3f,S021,missing_step,True
gemini3f,S022,annex_iii,True
gemini3f,S023,annex_iii,False
gemini3f,S024,annex_iii,False
gemini3f,S025,art5,False
gemini3f,S027,none,True
gemini3f,S029,none,True
gemini3f,S030,annex_iii,True
gemini3f,S031,annex_iii,False
gemini3f,S032,art5,True
gemini3f,S033,annex_iii,True
gemini3f,S034,none,True
gemini3f,S035,none,True
gemini3f,S036,art50,True
gemini3f,S037,annex_iii,True
gemini3f,S038,art50,False
gemini3f,S039,art50,True
gemini3f,S040,annex_i,False
gemini3f,S042,none,True
gemini3f,S043,art50,True
gemini3f,S044,none,True
gemini3f,S045,none,True
gemini3f,S046,profiling,True
gemini3f,S047,annex_iii,True
gemini3f,S048,none,True
gemini3f,S049,none,True
gemini3f,S050,annex_iii,True
gemini3f,S051,none,True
gemini3f,S052,annex_iii,True
gemini3f,S053,art5,True
gemini3f,S054,none,True
gemini3f,S055,art50,False
gemini3f,S056,art5,True
gemini3f,S057,none,True
gemini3f,S058,annex_i,False
gemini3f,S060,annex_iii,False
gemini3f,S061,art50,True
gemini3f,S062,annex_iii,True
gemini3f,S063,none,True
gemini3f,S064,none,True
gemini3f,S065,none,True
gemini3f,S066,none,True
gemini3f,S068,none,True
gemini3f,S069,art5,False
gemini3f,S070,annex_iii,True
gemini3f,S071,none,True
gemini3f,S072,art5,False
gemini3f,S073,none,True
gemini3f,S074,none,True
gemini3f,S075,none,True
gemini3f,S076,none,True
gemini3f,S077,none,True
gemini3f,S078,none,True
gemini3f,S079,none,True
gemini3f,S080,none,True
gemini3f,S081,none,True
gemini3f,S082,none,True
gemini3f,S083,none,True
gemini3f,S084,none,True
gemini3f,S085,none,True
gemini3f,S086,none,True
gemini3f,S087,none,True
gemini3f,S088,none,True
gemini3f,S089,none,True
gemini3f,S090,annex_iii,True
gemini3f,S091,none,True
gemini3f,S092,art5,True
gemini3f,S093,art5,False
gemini3f,S094,none,True
gemini3f,S095,art5,False
gemini3f,S096,none,True
gemini3f,S097,none,True
gemini3f,S098,none,True
gemini3f,S099,none,True
gemini3f,S100,annex_iii,False
gemini3f,S101,none,True
gemini3f,S102,none,True
gemini3f,S103,none,True
gemini3f,S104,none,True
gemini3f,S105,none,True
gemini3f,S106,art5,False
gemini3f,S107,none,True
gemini3f,S108,none,True
gemini3f,S109,none,True
gemini3f,S110,annex_i,True
gemini3f,S111,none,True
gemini3f,S112,none,True
gemini3f,S113,none,True
gemini3f,S114,none,True
gemini3f,S115,none,True
gemini3f,S116,none,True
gemini3f,S117,none,True
