model,prompt,evidence,intended,valid_answers,ordinal_pairs,exact,exact_lo,exact_hi,exact_defined_draws,macro_f1,macro_f1_lo,macro_f1_hi,macro_f1_defined_draws,qwk,qwk_lo,qwk_hi,qwk_defined_draws
gemini37f,naive,short,14,14,13,0.9285714285714286,0.7857142857142857,1.0,10000,0.7679738562091503,0.3235294117647059,0.8333333333333334,10000,0.9477911646586346,0.6363636363636369,1.0,9980
gemini3f,naive,short,14,14,13,1.0,1.0,1.0,10000,0.8333333333333334,0.3333333333333333,0.8333333333333334,10000,1.0,1.0,1.0,9929
gemma27b,naive,short,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.42777777777777776,0.14035087719298245,0.49275362318840576,10000,0.3333333333333335,-6.661338147750939e-16,1.0,9929
gpt52,naive,short,14,14,13,1.0,1.0,1.0,10000,0.8333333333333334,0.3333333333333333,0.8333333333333334,10000,1.0,1.0,1.0,9929
gpt56luna,naive,short,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.6888888888888888,0.25146198830409355,0.7888888888888889,10000,0.6355140186915889,0.1348314606741572,1.0,10000
gpt56sol,naive,short,14,14,12,0.7857142857142857,0.5714285714285714,1.0,10000,0.688888888888889,0.2546130952380952,0.7889215686274504,10000,0.6470588235294117,0.13038972741608462,1.0,9999
grok46,naive,short,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.6888888888888888,0.25146198830409355,0.7888888888888889,10000,0.6355140186915889,0.13580246913580185,1.0,9999
haiku45,naive,short,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.42777777777777776,0.14285714285714285,0.49275362318840576,10000,0.0930232558139541,-0.6249999999999993,0.630977443609021,9929
kimi25,naive,short,14,14,13,0.7142857142857143,0.5,0.9285714285714286,10000,0.5740740740740741,0.1388888888888889,0.6481481481481481,10000,0.2065727699530514,-0.18181818181818188,0.6776859504132233,9994
kimi3,naive,short,14,13,12,0.7857142857142857,0.5714285714285714,1.0,10000,0.5925925925925926,0.15971467391304348,0.6666666666666666,10000,0.6250000000000002,-4.440892098500626e-16,1.0,9912
qwen3827b,naive,short,14,13,12,0.7142857142857143,0.5,0.9285714285714286,10000,0.5777777777777778,0.20199420677361854,0.6538461538461539,10000,0.5573770491803282,2.220446049250313e-16,1.0,9999
qwen38max,naive,short,14,11,10,0.7142857142857143,0.5,0.9285714285714286,10000,0.7301587301587302,0.2833333333333333,0.8095238095238096,10000,0.9462365591397849,0.6206896551724136,1.0,9980
sonnet46,naive,short,14,14,13,0.9285714285714286,0.7857142857142857,1.0,10000,0.611111111111111,0.3,0.6666666666666666,10000,0.7868852459016393,-0.6249999999999993,1.0,9929
sonnet5,naive,short,14,12,11,0.7142857142857143,0.5,0.9285714285714286,10000,0.5444444444444444,0.2136574074074074,0.6555555555555556,10000,0.759825327510917,3.3306690738754696e-16,1.0,9975
gemini37f,naive,expanded,14,14,13,0.9285714285714286,0.7857142857142857,1.0,10000,0.7679738562091503,0.3235294117647059,0.8333333333333334,10000,0.9477911646586346,0.6363636363636369,1.0,9980
gemini3f,naive,expanded,14,14,13,0.9285714285714286,0.7857142857142857,1.0,10000,0.7679738562091503,0.3235294117647059,0.8333333333333334,10000,0.9477911646586346,0.6363636363636369,1.0,9980
gemma27b,naive,expanded,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.42777777777777776,0.14035087719298245,0.49275362318840576,10000,0.3333333333333335,-6.661338147750939e-16,1.0,9929
gpt52,naive,expanded,14,14,13,0.8571428571428571,0.6428571428571429,1.0,10000,0.7236111111111111,0.28484848484848485,0.8333333333333334,10000,0.7719298245614035,0.23636363636363555,1.0,9994
gpt56luna,naive,expanded,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.6888888888888888,0.25146198830409355,0.7888888888888889,10000,0.6355140186915889,0.1348314606741572,1.0,10000
gpt56sol,naive,expanded,14,14,12,0.7142857142857143,0.5,0.9285714285714286,10000,0.619047619047619,0.22875350140056022,0.7583333333333333,10000,0.6301369863013698,0.13043478260869534,1.0,9999
grok46,naive,expanded,14,14,12,0.7142857142857143,0.5,0.9285714285714286,10000,0.5857142857142857,0.23809523809523805,0.7569444444444443,10000,0.7272727272727273,0.1946527219093582,1.0,9999
haiku45,naive,expanded,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.42777777777777776,0.14285714285714285,0.49275362318840576,10000,0.0930232558139541,-0.6249999999999993,0.630977443609021,9929
kimi25,naive,expanded,14,14,13,0.8571428571428571,0.6428571428571429,1.0,10000,0.7037037037037036,0.25396825396825395,0.8333333333333334,10000,0.6948356807511735,0.08695652173913015,1.0,9980
kimi3,naive,expanded,14,13,12,0.8571428571428571,0.6428571428571429,1.0,10000,0.6568627450980392,0.30952380952380953,0.6666666666666666,10000,0.9361702127659575,0.43478260869565166,1.0,9912
qwen3827b,naive,expanded,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.7285714285714286,0.25846702317290554,0.791005291005291,10000,0.5357142857142858,0.07142857142857117,1.0,10000
qwen38max,naive,expanded,14,11,10,0.7142857142857143,0.5,0.9285714285714286,10000,0.6888888888888888,0.23809523809523805,0.7916666666666666,10000,0.9206349206349206,0.25658783783783784,1.0,9894
sonnet46,naive,expanded,14,14,13,1.0,1.0,1.0,10000,0.8333333333333334,0.3333333333333333,0.8333333333333334,10000,1.0,1.0,1.0,9929
sonnet5,naive,expanded,14,12,11,0.7857142857142857,0.5714285714285714,1.0,10000,0.7444444444444445,0.2962962962962963,0.8205128205128206,10000,0.9468599033816425,0.6249999999999987,1.0,9980
gemini37f,decomposed,short,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.6888888888888888,0.24761544011544012,0.7888888888888889,10000,0.6355140186915889,0.13333333333333383,1.0,9999
gemini3f,decomposed,short,14,14,13,0.9285714285714286,0.7857142857142857,1.0,10000,0.7679738562091503,0.3235294117647059,0.8333333333333334,10000,0.944206008583691,0.6285714285714268,1.0,9980
gemma27b,decomposed,short,14,14,13,0.9285714285714286,0.7857142857142857,1.0,10000,0.6333333333333333,0.27777777777777773,0.6666666666666666,10000,1.0,1.0,1.0,9929
gpt52,decomposed,short,14,13,12,0.7857142857142857,0.5714285714285714,1.0,10000,0.673611111111111,0.23557722431077693,0.7777777777777777,10000,0.6875000000000001,6.661338147750939e-16,1.0,9977
gpt56luna,decomposed,short,14,14,13,0.7142857142857143,0.5,0.9285714285714286,10000,0.6134920634920634,0.2333080808080808,0.7523809523809524,10000,0.6915254237288138,0.18181818181818188,0.9554194474033173,10000
gpt56sol,decomposed,short,14,14,13,0.7857142857142857,0.5714285714285714,1.0,10000,0.6611111111111111,0.28571428571428575,0.7848484848484848,10000,0.8494208494208494,0.35135135135135076,1.0,9999
