model,condition,label,support,predicted,tp,precision,recall,f1
gemini37f,naive,minimal,9,11,7,0.6363636363636364,0.7777777777777778,0.7
gemini37f,naive,transparency,77,80,72,0.9,0.935064935064935,0.9171974522292994
gemini37f,naive,high,44,42,39,0.9285714285714286,0.8863636363636364,0.9069767441860465
gemini37f,naive,prohibited,10,8,4,0.5,0.4,0.4444444444444444
gemini37f,naive,not_ai_system,2,2,2,1.0,1.0,1.0
gemini37f,naive,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
gemini37f,decomposed,minimal,9,12,9,0.75,1.0,0.8571428571428571
gemini37f,decomposed,transparency,77,86,77,0.8953488372093024,1.0,0.9447852760736196
gemini37f,decomposed,high,44,39,38,0.9743589743589743,0.8636363636363636,0.9156626506024096
gemini37f,decomposed,prohibited,10,5,3,0.6,0.3,0.4
gemini37f,decomposed,not_ai_system,2,2,2,1.0,1.0,1.0
gemini37f,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gemini3f,naive,minimal,9,3,2,0.6666666666666666,0.2222222222222222,0.3333333333333333
gemini3f,naive,transparency,77,79,71,0.8987341772151899,0.922077922077922,0.9102564102564102
gemini3f,naive,high,44,52,41,0.7884615384615384,0.9318181818181818,0.8541666666666666
gemini3f,naive,prohibited,10,7,4,0.5714285714285714,0.4,0.47058823529411764
gemini3f,naive,not_ai_system,2,1,1,1.0,0.5,0.6666666666666666
gemini3f,naive,insufficient_information,2,0,0,0.0,0.0,0.0
gemini3f,decomposed,minimal,9,4,3,0.75,0.3333333333333333,0.46153846153846156
gemini3f,decomposed,transparency,77,87,75,0.8620689655172413,0.974025974025974,0.9146341463414634
gemini3f,decomposed,high,44,51,40,0.7843137254901961,0.9090909090909091,0.8421052631578947
gemini3f,decomposed,prohibited,10,1,1,1.0,0.1,0.18181818181818182
gemini3f,decomposed,not_ai_system,2,1,1,1.0,0.5,0.6666666666666666
gemini3f,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gemma27b,naive,minimal,9,3,0,0.0,0.0,0.0
gemma27b,naive,transparency,77,63,56,0.8888888888888888,0.7272727272727273,0.8
gemma27b,naive,high,44,68,41,0.6029411764705882,0.9318181818181818,0.7321428571428571
gemma27b,naive,prohibited,10,10,2,0.2,0.2,0.2
gemma27b,naive,not_ai_system,2,0,0,0.0,0.0,0.0
gemma27b,naive,insufficient_information,2,0,0,0.0,0.0,0.0
gemma27b,decomposed,minimal,9,11,3,0.2727272727272727,0.3333333333333333,0.3
