model,name,condition,n,answered,auxiliary,n_ordinal,exact,exact_lo,exact_hi,macro_f1,f1_lo,f1_hi,qwk,qwk_lo,qwk_hi,common_n,paired_qwk,delta_qwk,delta_lo,delta_hi
gemini37f,Gemini 3.7 Flash,naive,144,144,3,140,0.8680555555555556,0.8125,0.9166666666666666,0.7725475512544095,0.4914674484353041,0.8684452099425383,0.6455696202531647,0.461276542160076,0.8098850920293935,140,0.6455696202531647,0.057977229932118735,-0.09177352268634918,0.20734393739769377
gemini37f,Gemini 3.7 Flash,decomposed,144,144,2,140,0.8958333333333334,0.8472222222222222,0.9444444444444444,0.686265130636481,0.48124714151350867,0.745351163736444,0.7035468501852834,0.5437296824727136,0.850994378718723,140,0.7035468501852834,0.057977229932118735,-0.09177352268634918,0.20734393739769377
gemini3f,Gemini 3 Flash,naive,144,142,1,138,0.8263888888888888,0.7638888888888888,0.8819444444444444,0.5391685520361991,0.3572912830750486,0.6443381204698421,0.5697140840098835,0.38347954860096134,0.7442013412538108,138,0.5697140840098835,-0.03982592357795123,-0.2678911331304687,0.1632214730440332
gemini3f,Gemini 3 Flash,decomposed,144,144,1,140,0.8333333333333334,0.7708333333333334,0.8888888888888888,0.5111271199204447,0.33258774536495933,0.6198175569949763,0.5321563682219423,0.32404443173985503,0.7270161105425762,138,0.5298881604319323,-0.03982592357795123,-0.2678911331304687,0.1632214730440332
gemma27b,Gemma 3 27B,naive,144,144,0,140,0.6875,0.6111111111111112,0.7638888888888888,0.28869047619047616,0.2438637955182073,0.3371314408675464,0.2835509138381207,0.1281440362355685,0.4486449552530304,140,0.2835509138381207,0.03089939821180765,-0.1680735429162874,0.23700031132580437
gemma27b,Gemma 3 27B,decomposed,144,144,0,140,0.6666666666666666,0.5902777777777778,0.7430555555555556,0.33196574298269216,0.2646065062814611,0.3985835611126544,0.31445031204992835,0.12960108941642,0.5009582704032025,140,0.31445031204992835,0.03089939821180765,-0.1680735429162874,0.23700031132580437
gpt52,GPT-5.2,naive,144,144,4,139,0.8125,0.75,0.875,0.6877173091458806,0.4348120066502999,0.7966341200624787,0.5718057796684761,0.3885149329725055,0.7407225329080558,139,0.5718057796684761,-0.10657542475840587,-0.2921529564174972,0.08041826852628312
gpt52,GPT-5.2,decomposed,144,144,1,140,0.7777777777777778,0.7083333333333334,0.8472222222222222,0.5689265308866035,0.41871390030608224,0.6559204851218741,0.4797956339990712,0.3031164400084915,0.6449452784588667,139,0.46523035491007025,-0.10657542475840587,-0.2921529564174972,0.08041826852628312
gpt56luna,GPT-5.6 Luna,naive,144,144,7,137,0.8125,0.75,0.875,0.7284468330979958,0.5055905674626099,0.8214179258178556,0.5622192377159263,0.3887707439921743,0.7211082444971646,137,0.5622192377159263,-0.2685134820988134,-0.4343751113369731,-0.11529664321888558
gpt56luna,GPT-5.6 Luna,decomposed,144,144,2,139,0.7222222222222222,0.6458333333333334,0.7916666666666666,0.5268636708049192,0.3941195606372509,0.6334711406168999,0.29684750733137855,0.12299126356860747,0.4631092948123474,137,0.2937057556171129,-0.2685134820988134,-0.4343751113369731,-0.11529664321888558
gpt56sol,GPT-5.6 Sol,naive,144,144,5,139,0.7916666666666666,0.7222222222222222,0.8541666666666666,0.7569032687957097,0.530248965666423,0.836321237196079,0.48234090444035227,0.30042408494710315,0.652093525333016,139,0.48234090444035227,-0.12715153934999712,-0.2879804396427825,0.03268116194373368
gpt56sol,GPT-5.6 Sol,decomposed,144,144,3,140,0.7291666666666666,0.6527777777777778,0.7986111111111112,0.7490438098743661,0.47126445630014807,0.8337842331614013,0.3698354047699024,0.20412328538566235,0.5303147381767382,139,0.35518936509035515,-0.12715153934999712,-0.2879804396427825,0.03268116194373368
grok46,Grok 4.6,naive,144,144,5,139,0.7916666666666666,0.7222222222222222,0.8541666666666666,0.741109234885292,0.5026437322684935,0.8206647604897831,0.47325284216092356,0.2943818546046306,0.6359749464668094,139,0.47325284216092356,0.18788806471377173,0.04849205986177797,0.33625529218782885
grok46,Grok 4.6,decomposed,144,144,1,140,0.875,0.8194444444444444,0.9236111111111112,0.6120182364800442,0.4411646459533311,0.7121009479326762,0.669811320754717,0.508209046851645,0.8236505366922511,139,0.6611409068746953,0.18788806471377173,0.04849205986177797,0.33625529218782885
haiku45,Claude Haiku 4.5,naive,144,144,9,134,0.3888888888888889,0.3125,0.4722222222222222,0.3665116799284185,0.16317553349723882,0.43305289943509806,-0.06907508461697809,-0.1473987336258151,0.007828410150548908,132,-0.07211538461538503,0.5655728581936436,0.34632157094635374,0.7793311019678649
