model,condition,label,support,predicted,tp,precision,recall,f1
gemini37f,naive,minimal,9,11,7,0.6363636363636364,0.7777777777777778,0.7
gemini37f,naive,transparency,69,80,64,0.8,0.927536231884058,0.8590604026845637
gemini37f,naive,high,44,42,39,0.9285714285714286,0.8863636363636364,0.9069767441860465
gemini37f,naive,prohibited,18,8,4,0.5,0.2222222222222222,0.3076923076923077
gemini37f,naive,not_ai_system,2,2,2,1.0,1.0,1.0
gemini37f,naive,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
gemini37f,decomposed,minimal,9,12,9,0.75,1.0,0.8571428571428571
gemini37f,decomposed,transparency,69,86,69,0.8023255813953488,1.0,0.8903225806451613
gemini37f,decomposed,high,44,39,38,0.9743589743589743,0.8636363636363636,0.9156626506024096
gemini37f,decomposed,prohibited,18,5,3,0.6,0.16666666666666666,0.2608695652173913
gemini37f,decomposed,not_ai_system,2,2,2,1.0,1.0,1.0
gemini37f,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gemini3f,naive,minimal,9,3,2,0.6666666666666666,0.2222222222222222,0.3333333333333333
gemini3f,naive,transparency,69,79,63,0.7974683544303798,0.9130434782608695,0.8513513513513513
gemini3f,naive,high,44,52,41,0.7884615384615384,0.9318181818181818,0.8541666666666666
gemini3f,naive,prohibited,18,7,4,0.5714285714285714,0.2222222222222222,0.32
gemini3f,naive,not_ai_system,2,1,1,1.0,0.5,0.6666666666666666
gemini3f,naive,insufficient_information,2,0,0,0.0,0.0,0.0
gemini3f,decomposed,minimal,9,4,3,0.75,0.3333333333333333,0.46153846153846156
gemini3f,decomposed,transparency,69,87,67,0.7701149425287356,0.9710144927536232,0.8589743589743589
gemini3f,decomposed,high,44,51,40,0.7843137254901961,0.9090909090909091,0.8421052631578947
gemini3f,decomposed,prohibited,18,1,1,1.0,0.05555555555555555,0.10526315789473684
gemini3f,decomposed,not_ai_system,2,1,1,1.0,0.5,0.6666666666666666
gemini3f,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gemma27b,naive,minimal,9,3,0,0.0,0.0,0.0
gemma27b,naive,transparency,69,63,48,0.7619047619047619,0.6956521739130435,0.7272727272727273
gemma27b,naive,high,44,68,41,0.6029411764705882,0.9318181818181818,0.7321428571428571
gemma27b,naive,prohibited,18,10,2,0.2,0.1111111111111111,0.14285714285714285
gemma27b,naive,not_ai_system,2,0,0,0.0,0.0,0.0
gemma27b,naive,insufficient_information,2,0,0,0.0,0.0,0.0
gemma27b,decomposed,minimal,9,11,3,0.2727272727272727,0.3333333333333333,0.3
gemma27b,decomposed,transparency,69,49,42,0.8571428571428571,0.6086956521739131,0.711864406779661
gemma27b,decomposed,high,44,74,44,0.5945945945945946,1.0,0.7457627118644068
gemma27b,decomposed,prohibited,18,10,5,0.5,0.2777777777777778,0.35714285714285715
gemma27b,decomposed,not_ai_system,2,0,0,0.0,0.0,0.0
gemma27b,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gpt52,naive,minimal,9,16,5,0.3125,0.5555555555555556,0.4
gpt52,naive,transparency,69,70,56,0.8,0.8115942028985508,0.8057553956834532
gpt52,naive,high,44,46,41,0.8913043478260869,0.9318181818181818,0.9111111111111111
gpt52,naive,prohibited,18,8,4,0.5,0.2222222222222222,0.3076923076923077
gpt52,naive,not_ai_system,2,2,2,1.0,1.0,1.0
gpt52,naive,insufficient_information,2,2,1,0.5,0.5,0.5
gpt52,decomposed,minimal,9,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888
gpt52,decomposed,transparency,69,68,53,0.7794117647058824,0.7681159420289855,0.7737226277372263
gpt52,decomposed,high,44,51,42,0.8235294117647058,0.9545454545454546,0.8842105263157894
gpt52,decomposed,prohibited,18,15,4,0.26666666666666666,0.2222222222222222,0.24242424242424243
gpt52,decomposed,not_ai_system,2,1,1,1.0,0.5,0.6666666666666666
gpt52,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gpt56luna,naive,minimal,9,12,6,0.5,0.6666666666666666,0.5714285714285714
gpt56luna,naive,transparency,69,66,55,0.8333333333333334,0.7971014492753623,0.8148148148148148
gpt56luna,naive,high,44,42,40,0.9523809523809523,0.9090909090909091,0.9302325581395349
gpt56luna,naive,prohibited,18,17,8,0.47058823529411764,0.4444444444444444,0.45714285714285713
gpt56luna,naive,not_ai_system,2,5,2,0.4,1.0,0.5714285714285714
gpt56luna,naive,insufficient_information,2,2,2,1.0,1.0,1.0
gpt56luna,decomposed,minimal,9,11,7,0.6363636363636364,0.7777777777777778,0.7
gpt56luna,decomposed,transparency,69,56,46,0.8214285714285714,0.6666666666666666,0.736
gpt56luna,decomposed,high,44,42,40,0.9523809523809523,0.9090909090909091,0.9302325581395349
gpt56luna,decomposed,prohibited,18,33,10,0.30303030303030304,0.5555555555555556,0.39215686274509803
gpt56luna,decomposed,not_ai_system,2,2,1,0.5,0.5,0.5
gpt56luna,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gpt56sol,naive,minimal,9,14,7,0.5,0.7777777777777778,0.6086956521739131
gpt56sol,naive,transparency,69,61,52,0.8524590163934426,0.7536231884057971,0.8
gpt56sol,naive,high,44,43,40,0.9302325581395349,0.9090909090909091,0.9195402298850575
gpt56sol,naive,prohibited,18,21,9,0.42857142857142855,0.5,0.46153846153846156
gpt56sol,naive,not_ai_system,2,3,2,0.6666666666666666,1.0,0.8
gpt56sol,naive,insufficient_information,2,2,2,1.0,1.0,1.0
gpt56sol,decomposed,minimal,9,12,9,0.75,1.0,0.8571428571428571
gpt56sol,decomposed,transparency,69,53,45,0.8490566037735849,0.6521739130434783,0.7377049180327869
gpt56sol,decomposed,high,44,39,37,0.9487179487179487,0.8409090909090909,0.891566265060241
gpt56sol,decomposed,prohibited,18,37,13,0.35135135135135137,0.7222222222222222,0.4727272727272727
gpt56sol,decomposed,not_ai_system,2,2,2,1.0,1.0,1.0
gpt56sol,decomposed,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
grok46,naive,minimal,9,14,7,0.5,0.7777777777777778,0.6086956521739131
grok46,naive,transparency,69,69,55,0.7971014492753623,0.7971014492753623,0.7971014492753623
grok46,naive,high,44,40,37,0.925,0.8409090909090909,0.8809523809523809
grok46,naive,prohibited,18,16,5,0.3125,0.2777777777777778,0.29411764705882354
grok46,naive,not_ai_system,2,2,2,1.0,1.0,1.0
grok46,naive,insufficient_information,2,3,2,0.6666666666666666,1.0,0.8
grok46,decomposed,minimal,9,14,9,0.6428571428571429,1.0,0.782608695652174
grok46,decomposed,transparency,69,86,69,0.8023255813953488,1.0,0.8903225806451613
grok46,decomposed,high,44,38,36,0.9473684210526315,0.8181818181818182,0.8780487804878049
grok46,decomposed,prohibited,18,5,3,0.6,0.16666666666666666,0.2608695652173913
grok46,decomposed,not_ai_system,2,1,1,1.0,0.5,0.6666666666666666
grok46,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
haiku45,naive,minimal,9,3,0,0.0,0.0,0.0
haiku45,naive,transparency,69,7,7,1.0,0.10144927536231885,0.18421052631578946
haiku45,naive,high,44,78,43,0.5512820512820513,0.9772727272727273,0.7049180327868853
haiku45,naive,prohibited,18,47,11,0.23404255319148937,0.6111111111111112,0.3384615384615385
haiku45,naive,not_ai_system,2,7,1,0.14285714285714285,0.5,0.2222222222222222
haiku45,naive,insufficient_information,2,2,2,1.0,1.0,1.0
haiku45,decomposed,minimal,9,9,2,0.2222222222222222,0.2222222222222222,0.2222222222222222
haiku45,decomposed,transparency,69,74,57,0.7702702702702703,0.8260869565217391,0.7972027972027972
haiku45,decomposed,high,44,52,39,0.75,0.8863636363636364,0.8125
haiku45,decomposed,prohibited,18,5,1,0.2,0.05555555555555555,0.08695652173913043
haiku45,decomposed,not_ai_system,2,1,1,1.0,0.5,0.6666666666666666
haiku45,decomposed,insufficient_information,2,3,1,0.3333333333333333,0.5,0.4
kimi25,naive,minimal,9,10,6,0.6,0.6666666666666666,0.631578947368421
kimi25,naive,transparency,69,58,48,0.8275862068965517,0.6956521739130435,0.7559055118110236
kimi25,naive,high,44,51,42,0.8235294117647058,0.9545454545454546,0.8842105263157894
kimi25,naive,prohibited,18,21,8,0.38095238095238093,0.4444444444444444,0.41025641025641024
kimi25,naive,not_ai_system,2,3,2,0.6666666666666666,1.0,0.8
kimi25,naive,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
kimi25,decomposed,minimal,9,13,9,0.6923076923076923,1.0,0.8181818181818182
kimi25,decomposed,transparency,69,81,65,0.8024691358024691,0.9420289855072463,0.8666666666666667
kimi25,decomposed,high,44,44,40,0.9090909090909091,0.9090909090909091,0.9090909090909091
kimi25,decomposed,prohibited,18,4,2,0.5,0.1111111111111111,0.18181818181818182
kimi25,decomposed,not_ai_system,2,2,2,1.0,1.0,1.0
kimi25,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
kimi3,naive,minimal,9,15,6,0.4,0.6666666666666666,0.5
kimi3,naive,transparency,69,55,47,0.8545454545454545,0.6811594202898551,0.7580645161290323
kimi3,naive,high,44,48,43,0.8958333333333334,0.9772727272727273,0.9347826086956522
kimi3,naive,prohibited,18,24,11,0.4583333333333333,0.6111111111111112,0.5238095238095238
kimi3,naive,not_ai_system,2,2,1,0.5,0.5,0.5
kimi3,naive,insufficient_information,2,0,0,0.0,0.0,0.0
kimi3,decomposed,minimal,9,12,9,0.75,1.0,0.8571428571428571
kimi3,decomposed,transparency,69,60,49,0.8166666666666667,0.7101449275362319,0.7596899224806202
kimi3,decomposed,high,44,41,38,0.926829268292683,0.8636363636363636,0.8941176470588236
kimi3,decomposed,prohibited,18,29,10,0.3448275862068966,0.5555555555555556,0.425531914893617
kimi3,decomposed,not_ai_system,2,1,1,1.0,0.5,0.6666666666666666
kimi3,decomposed,insufficient_information,2,1,0,0.0,0.0,0.0
qwen3827b,naive,minimal,9,13,7,0.5384615384615384,0.7777777777777778,0.6363636363636364
qwen3827b,naive,transparency,69,68,58,0.8529411764705882,0.8405797101449275,0.8467153284671532
qwen3827b,naive,high,44,43,37,0.8604651162790697,0.8409090909090909,0.8505747126436781
qwen3827b,naive,prohibited,18,15,7,0.4666666666666667,0.3888888888888889,0.42424242424242425
qwen3827b,naive,not_ai_system,2,3,2,0.6666666666666666,1.0,0.8
qwen3827b,naive,insufficient_information,2,2,1,0.5,0.5,0.5
qwen3827b,decomposed,minimal,9,11,9,0.8181818181818182,1.0,0.9
qwen3827b,decomposed,transparency,69,74,61,0.8243243243243243,0.8840579710144928,0.8531468531468531
qwen3827b,decomposed,high,44,43,40,0.9302325581395349,0.9090909090909091,0.9195402298850575
qwen3827b,decomposed,prohibited,18,13,6,0.46153846153846156,0.3333333333333333,0.3870967741935484
qwen3827b,decomposed,not_ai_system,2,2,2,1.0,1.0,1.0
qwen3827b,decomposed,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
qwen38max,naive,minimal,9,11,6,0.5454545454545454,0.6666666666666666,0.6
qwen38max,naive,transparency,69,63,54,0.8571428571428571,0.782608695652174,0.8181818181818182
qwen38max,naive,high,44,46,41,0.8913043478260869,0.9318181818181818,0.9111111111111111
qwen38max,naive,prohibited,18,20,9,0.45,0.5,0.47368421052631576
qwen38max,naive,not_ai_system,2,2,2,1.0,1.0,1.0
qwen38max,naive,insufficient_information,2,2,2,1.0,1.0,1.0
qwen38max,decomposed,minimal,9,10,8,0.8,0.8888888888888888,0.8421052631578947
qwen38max,decomposed,transparency,69,74,62,0.8378378378378378,0.8985507246376812,0.8671328671328671
qwen38max,decomposed,high,44,42,39,0.9285714285714286,0.8863636363636364,0.9069767441860465
qwen38max,decomposed,prohibited,18,15,7,0.4666666666666667,0.3888888888888889,0.42424242424242425
qwen38max,decomposed,not_ai_system,2,2,2,1.0,1.0,1.0
qwen38max,decomposed,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
sonnet46,naive,minimal,9,18,5,0.2777777777777778,0.5555555555555556,0.37037037037037035
sonnet46,naive,transparency,69,25,22,0.88,0.3188405797101449,0.46808510638297873
sonnet46,naive,high,44,48,41,0.8541666666666666,0.9318181818181818,0.8913043478260869
sonnet46,naive,prohibited,18,49,13,0.2653061224489796,0.7222222222222222,0.3880597014925373
sonnet46,naive,not_ai_system,2,4,1,0.25,0.5,0.3333333333333333
sonnet46,naive,insufficient_information,2,0,0,0.0,0.0,0.0
sonnet46,decomposed,minimal,9,10,5,0.5,0.5555555555555556,0.5263157894736842
sonnet46,decomposed,transparency,69,65,52,0.8,0.7536231884057971,0.7761194029850746
sonnet46,decomposed,high,44,58,43,0.7413793103448276,0.9772727272727273,0.8431372549019608
sonnet46,decomposed,prohibited,18,10,3,0.3,0.16666666666666666,0.21428571428571427
sonnet46,decomposed,not_ai_system,2,1,1,1.0,0.5,0.6666666666666666
sonnet46,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
sonnet5,naive,minimal,9,16,6,0.375,0.6666666666666666,0.48
sonnet5,naive,transparency,69,38,32,0.8421052631578947,0.463768115942029,0.5981308411214953
sonnet5,naive,high,44,46,39,0.8478260869565217,0.8863636363636364,0.8666666666666667
sonnet5,naive,prohibited,18,38,11,0.2894736842105263,0.6111111111111112,0.39285714285714285
sonnet5,naive,not_ai_system,2,3,1,0.3333333333333333,0.5,0.4
sonnet5,naive,insufficient_information,2,3,2,0.6666666666666666,1.0,0.8
sonnet5,decomposed,minimal,9,16,8,0.5,0.8888888888888888,0.64
sonnet5,decomposed,transparency,69,69,58,0.8405797101449275,0.8405797101449275,0.8405797101449275
sonnet5,decomposed,high,44,36,34,0.9444444444444444,0.7727272727272727,0.85
sonnet5,decomposed,prohibited,18,21,9,0.42857142857142855,0.5,0.46153846153846156
sonnet5,decomposed,not_ai_system,2,2,2,1.0,1.0,1.0
sonnet5,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
