condition,group,incidents,pairs,mean,lo,hi,up_pct,down_pct
naive,outside,109,1475,0.08677966101694916,-0.053206229600433176,0.2224562919176992,17.627118644067796,13.898305084745763
naive,inside,33,461,-0.01735357917570499,-0.10903649708257401,0.07823403554970372,7.592190889370933,7.375271149674621
naive,reference_minimal,9,114,0.7631578947368421,,,38.59649122807018,0.0
naive,reference_transparency,69,957,0.32601880877742945,,,23.301985370950888,7.628004179728317
naive,reference_high,44,615,-0.004878048780487805,,,4.5528455284552845,3.5772357723577235
naive,reference_prohibited,18,250,-1.104,,,0.0,57.6
decomposed,outside,109,1494,-0.03145917001338688,-0.16513143641491684,0.09365109112110602,11.311914323962517,12.048192771084338
decomposed,inside,33,462,-0.11904761904761904,-0.25,0.0,6.2770562770562774,12.554112554112555
decomposed,reference_minimal,9,124,0.3870967741935484,,,20.967741935483872,0.0
decomposed,reference_transparency,69,964,0.237551867219917,,,15.45643153526971,2.074688796680498
decomposed,reference_high,44,616,-0.07467532467532467,,,3.7337662337662336,6.98051948051948
decomposed,reference_prohibited,18,252,-1.3214285714285714,,,0.0,69.44444444444444
