model,name,condition,n,answered,auxiliary,n_ordinal,exact,exact_lo,exact_hi,macro_f1,f1_lo,f1_hi,qwk,qwk_lo,qwk_hi,common_n,paired_qwk,delta_qwk,delta_lo,delta_hi
gemini37f,Gemini 3.7 Flash,naive,144,144,3,140,0.8125,0.75,0.875,0.7400660202049307,0.4625856115190823,0.8318914319992511,0.4948517116958554,0.31664560162552174,0.6669011583698389,140,0.4948517116958554,0.050807713166670765,-0.07227584516009053,0.1797843759867253
gemini37f,Gemini 3.7 Flash,decomposed,144,144,2,140,0.8402777777777778,0.7777777777777778,0.8958333333333334,0.6539996089346365,0.45750498312030813,0.7056260182375333,0.5456594248625262,0.39037604564901784,0.7030506937230381,140,0.5456594248625262,0.050807713166670765,-0.07227584516009053,0.1797843759867253
gemini3f,Gemini 3 Flash,naive,144,142,1,138,0.7708333333333334,0.7013888888888888,0.8402777777777778,0.5042530030030029,0.32943034285012984,0.6070876069688298,0.3982763927362265,0.21805839895984955,0.5842757235284189,138,0.3982763927362265,-0.034462530061315944,-0.22824147706027842,0.14356517675858516
gemini3f,Gemini 3 Flash,decomposed,144,144,1,140,0.7777777777777778,0.7083333333333334,0.8402777777777778,0.4890913180386864,0.31753707274692516,0.5897856684085199,0.36715592427143173,0.1849053763964063,0.5560566214019386,138,0.36381386267491056,-0.034462530061315944,-0.22824147706027842,0.14356517675858516
gemma27b,Gemma 3 27B,naive,144,144,0,140,0.6319444444444444,0.5555555555555556,0.7083333333333334,0.26704545454545453,0.22938116143527124,0.3081603246513271,0.13225898731763142,-0.026155780221454327,0.30396859105181195,140,0.13225898731763142,0.18794936440833354,-0.024703743014262158,0.4000059913778903
gemma27b,Gemma 3 27B,decomposed,144,144,0,140,0.6527777777777778,0.5763888888888888,0.7291666666666666,0.35246166263115414,0.28151188712926273,0.4177865704886347,0.32020835172596496,0.1261205729127637,0.5080790982705936,140,0.32020835172596496,0.18794936440833354,-0.024703743014262158,0.4000059913778903
gpt52,GPT-5.2,naive,144,144,4,139,0.7569444444444444,0.6875,0.8263888888888888,0.654093135747812,0.40286960878627553,0.7598435723314346,0.4355631545201968,0.2624287991633441,0.6032876975748068,139,0.4355631545201968,-0.015686622044760012,-0.20068849487994034,0.17131383786275942
gpt52,GPT-5.2,decomposed,144,144,1,140,0.75,0.6805555555555556,0.8194444444444444,0.5759854920054689,0.4252205999142939,0.6639953480879192,0.43534156793546763,0.2586281433321317,0.6037336402471418,139,0.41987653247543677,-0.015686622044760012,-0.20068849487994034,0.17131383786275942
gpt56luna,GPT-5.6 Luna,naive,144,144,7,137,0.7847222222222222,0.7152777777777778,0.8541666666666666,0.7241745621590582,0.5009783827626103,0.8154718919164653,0.5133519996656779,0.33829358246043173,0.6753431195761754,137,0.5133519996656779,-0.18492062711665835,-0.36877911299264937,-0.00991074562141149
gpt56luna,GPT-5.6 Luna,decomposed,144,144,2,139,0.7222222222222222,0.6458333333333334,0.7916666666666666,0.5430649034807721,0.4093963595788357,0.6525336942880061,0.3321030640668523,0.14910780269530716,0.5026279596519898,137,0.32843137254901955,-0.18492062711665835,-0.36877911299264937,-0.00991074562141149
