condition,group,incidents,pairs,mean,lo,hi,up_pct,down_pct
naive,outside,94,1265,0.2782608695652174,0.13684068168876598,0.4108420121664487,23.557312252964426,10.355731225296443
naive,inside,33,461,-0.01735357917570499,-0.10978520286396182,0.07857343499197429,7.592190889370933,7.375271149674621
naive,reference_minimal,9,114,0.7631578947368421,,,38.59649122807018,0.0
naive,reference_transparency,77,1069,0.362956033676333,,,24.41534144059869,6.828811973807296
naive,reference_high,29,405,-0.007407407407407408,,,6.91358024691358,5.432098765432099
naive,reference_prohibited,10,138,-0.927536231884058,,,0.0,50.72463768115942
decomposed,outside,94,1284,0.1378504672897196,0.014206375925147544,0.2515061378444291,15.186915887850468,7.320872274143302
decomposed,inside,33,462,-0.11904761904761904,-0.24761904761904763,0.003663003663003663,6.2770562770562774,12.554112554112555
decomposed,reference_minimal,9,124,0.3870967741935484,,,20.967741935483872,0.0
decomposed,reference_transparency,77,1076,0.2611524163568773,,,16.263940520446095,1.858736059479554
decomposed,reference_high,29,406,-0.11330049261083744,,,5.665024630541872,10.591133004926109
decomposed,reference_prohibited,10,140,-1.15,,,0.0,63.57142857142857
