model,name,condition,n,answered,auxiliary,n_ordinal,exact,exact_lo,exact_hi,macro_f1,f1_lo,f1_hi,qwk,qwk_lo,qwk_hi,common_n,paired_qwk,delta_qwk,delta_lo,delta_hi
gemini37f,Gemini 3.7 Flash,naive,129,129,3,125,0.8527131782945736,0.7906976744186046,0.9147286821705426,0.764241903413878,0.4836363725150275,0.8625705751727676,0.607904642409034,0.40165005907065887,0.7906730349416425,125,0.607904642409034,0.05853965378843107,-0.10574637962274806,0.22585418129907528
gemini37f,Gemini 3.7 Flash,decomposed,129,129,2,125,0.8837209302325582,0.8294573643410853,0.937984496124031,0.6783087769197271,0.4740090655198017,0.7401170681603627,0.666444296197465,0.4908166363673959,0.8282151094897555,125,0.666444296197465,0.05853965378843107,-0.10574637962274806,0.22585418129907528
gemini3f,Gemini 3 Flash,naive,129,127,1,123,0.8062015503875969,0.7364341085271318,0.8682170542635659,0.5281205722382193,0.3472357503607504,0.6354860912337088,0.5256494215236844,0.3189333358457655,0.7178173943164914,123,0.5256494215236844,-0.05811695399121686,-0.3121838188545676,0.17565002665689225
gemini3f,Gemini 3 Flash,decomposed,129,129,1,125,0.813953488372093,0.7441860465116279,0.875968992248062,0.4989813709325904,0.3164045514111507,0.6105950330663202,0.4693632358830595,0.23800610135555145,0.6882866906600162,123,0.4675324675324676,-0.05811695399121686,-0.3121838188545676,0.17565002665689225
gemma27b,Gemma 3 27B,naive,129,129,0,125,0.6511627906976745,0.5658914728682171,0.7286821705426356,0.27235772357723576,0.22379754170152358,0.32099831719750477,0.23723536737235318,0.07562055714618815,0.4133688007739082,125,0.23723536737235318,0.036682628071837864,-0.16759566730412628,0.24310044408883552
gemma27b,Gemma 3 27B,decomposed,129,129,0,125,0.627906976744186,0.5426356589147286,0.7131782945736435,0.3175204425204425,0.2473079254987365,0.3827126505762637,0.27391799544419104,0.08433069121542751,0.4643816277876693,125,0.27391799544419104,0.036682628071837864,-0.16759566730412628,0.24310044408883552
gpt52,GPT-5.2,naive,129,129,4,124,0.7906976744186046,0.7209302325581395,0.8604651162790697,0.6803099017384732,0.4274038267511113,0.7897561512553419,0.5292841648590023,0.32449771070440303,0.7110527598128161,124,0.5292841648590023,-0.10223091315517874,-0.29286707420471453,0.09630016581748577
gpt52,GPT-5.2,decomposed,129,129,1,125,0.751937984496124,0.6744186046511628,0.8217054263565892,0.5600196482955103,0.4074232072927346,0.6480821158649377,0.4422755158951478,0.2665294825048322,0.6133648301759951,124,0.4270532517038236,-0.10223091315517874,-0.29286707420471453,0.09630016581748577
gpt56luna,GPT-5.6 Luna,naive,129,129,7,122,0.7906976744186046,0.7209302325581395,0.8604651162790697,0.7222175972175972,0.4891710790029613,0.8165553642584457,0.5301931019086954,0.3518480364419636,0.7006575258801379,122,0.5301931019086954,-0.26027527411305396,-0.4292030891277425,-0.10133599129998923
gpt56luna,GPT-5.6 Luna,decomposed,129,129,2,124,0.689922480620155,0.6124031007751938,0.7674418604651163,0.5206344349245206,0.3874512685595062,0.6312178439002305,0.27275818104547367,0.09989151124804495,0.43989691482627824,122,0.26991782779564144,-0.26027527411305396,-0.4292030891277425,-0.10133599129998923
gpt56sol,GPT-5.6 Sol,naive,129,129,5,124,0.7674418604651163,0.689922480620155,0.8372093023255814,0.7498453942242236,0.5096019618105907,0.8313943777197524,0.45170068027210863,0.261948801029918,0.6293119457821151,124,0.45170068027210863,-0.11353450485587335,-0.2815129586887098,0.051500286719471426
gpt56sol,GPT-5.6 Sol,decomposed,129,129,3,125,0.6976744186046512,0.6201550387596899,0.7751937984496124,0.7388142122385398,0.4618606807966187,0.8262512783077693,0.3525318902203325,0.18775910519883227,0.5106290961751113,124,0.3381661754162353,-0.11353450485587335,-0.2815129586887098,0.051500286719471426
grok46,Grok 4.6,naive,129,129,5,124,0.7674418604651163,0.689922480620155,0.8372093023255814,0.7300863071956977,0.4910846638795535,0.8122972359221223,0.43258486751090797,0.24643410285579068,0.6052842035189354,124,0.43258486751090797,0.18532803306427692,0.03786006292674014,0.34190623179546775
grok46,Grok 4.6,decomposed,129,129,1,125,0.8604651162790697,0.7984496124031008,0.9147286821705426,0.6002921576807946,0.4263193658340175,0.700422573675199,0.6276067527308838,0.4461649344384788,0.7938927031456349,124,0.6179129005751849,0.18532803306427692,0.03786006292674014,0.34190623179546775
haiku45,Claude Haiku 4.5,naive,129,129,9,119,0.3178294573643411,0.24031007751937986,0.40310077519379844,0.3504746164929231,0.1458036765873557,0.41944261927384163,-0.045248868778280826,-0.11373294282485347,0.02213841773526291,117,-0.04821019645655045,0.4889280085402429,0.25535442569052325,0.7102679316201268
haiku45,Claude Haiku 4.5,decomposed,129,129,4,123,0.7286821705426356,0.6511627906976745,0.8062015503875969,0.501737016968805,0.2899839981624162,0.6306312918017724,0.4375000000000001,0.2413430748132433,0.6212436888157261,117,0.44071781208369243,0.4889280085402429,0.25535442569052325,0.7102679316201268
kimi25,Kimi K2.5,naive,129,129,4,124,0.7286821705426356,0.6511627906976745,0.8062015503875969,0.672796779191799,0.4272531995195625,0.7870379018724607,0.41639676113360335,0.24078757027777112,0.5843547801809329,124,0.41639676113360335,0.1749804186000231,-0.06737510108621075,0.3976638794761875
kimi25,Kimi K2.5,decomposed,129,129,2,125,0.8604651162790697,0.7984496124031008,0.9147286821705426,0.6483359503874563,0.4440145585593956,0.7116001844301817,0.6021220159151195,0.40155693720031366,0.788007927200405,124,0.5913771797336265,0.1749804186000231,-0.06737510108621075,0.3976638794761875
kimi3,Kimi K3,naive,129,129,2,124,0.7364341085271318,0.6589147286821705,0.813953488372093,0.5269488049374197,0.39154100727629365,0.6382637104294919,0.5181792950319177,0.35792798772445406,0.6664377154998249,123,0.5183752417794971,-0.1316349102877844,-0.31827353467239045,0.05155588662097345
kimi3,Kimi K3,decomposed,129,129,2,124,0.7131782945736435,0.6356589147286822,0.7906976744186046,0.5735980159337822,0.41702486531280525,0.6632683222303373,0.4006270684549731,0.22800258473161597,0.5619907372314296,123,0.3867403314917127,-0.1316349102877844,-0.31827353467239045,0.05155588662097345
qwen3827b,Qwen 3.8 27B,naive,129,129,5,123,0.751937984496124,0.6744186046511628,0.8217054263565892,0.6339109791196905,0.4144021423930678,0.7576547688727256,0.4277145579909186,0.24366246696784172,0.6037672293044416,123,0.4277145579909186,0.0979454835397845,-0.09207013305214265,0.29314482639407374
qwen3827b,Qwen 3.8 27B,decomposed,129,129,3,125,0.8372093023255814,0.7751937984496124,0.8992248062015504,0.7798504924370625,0.498154503641921,0.8696702290764791,0.5405711054566014,0.35429338018071527,0.7139203065918367,123,0.5256600415307031,0.0979454835397845,-0.09207013305214265,0.29314482639407374
qwen38max,Qwen 3.8 Max,naive,129,129,4,125,0.7674418604651163,0.689922480620155,0.8372093023255814,0.7714285714285714,0.5323949858727156,0.828698409329776,0.35643564356435653,0.16234306198959014,0.5428064799427688,125,0.35643564356435653,0.1950410332228364,0.01768395962007278,0.36886125137281556
