model,condition,label,support,predicted,tp,precision,recall,f1
gemini37f,naive,minimal,7,9,5,0.5555555555555556,0.7142857142857143,0.625
gemini37f,naive,transparency,76,79,71,0.8987341772151899,0.9342105263157895,0.9161290322580645
gemini37f,naive,high,35,34,31,0.9117647058823529,0.8857142857142857,0.8985507246376812
gemini37f,naive,prohibited,9,6,3,0.5,0.3333333333333333,0.4
gemini37f,naive,not_ai_system,1,1,1,1.0,1.0,1.0
gemini37f,naive,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
gemini37f,decomposed,minimal,7,7,7,1.0,1.0,1.0
gemini37f,decomposed,transparency,76,85,76,0.8941176470588236,1.0,0.9440993788819876
gemini37f,decomposed,high,35,34,33,0.9705882352941176,0.9428571428571428,0.9565217391304348
gemini37f,decomposed,prohibited,9,3,2,0.6666666666666666,0.2222222222222222,0.3333333333333333
gemini37f,decomposed,not_ai_system,1,1,1,1.0,1.0,1.0
gemini37f,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gemini3f,naive,minimal,7,1,0,0.0,0.0,0.0
gemini3f,naive,transparency,76,78,70,0.8974358974358975,0.9210526315789473,0.9090909090909091
gemini3f,naive,high,35,44,33,0.75,0.9428571428571428,0.8354430379746836
gemini3f,naive,prohibited,9,5,3,0.6,0.3333333333333333,0.42857142857142855
gemini3f,naive,not_ai_system,1,0,0,0.0,0.0,0.0
gemini3f,naive,insufficient_information,2,0,0,0.0,0.0,0.0
gemini3f,decomposed,minimal,7,2,1,0.5,0.14285714285714285,0.2222222222222222
gemini3f,decomposed,transparency,76,86,75,0.872093023255814,0.9868421052631579,0.9259259259259259
gemini3f,decomposed,high,35,42,32,0.7619047619047619,0.9142857142857143,0.8311688311688312
gemini3f,decomposed,prohibited,9,0,0,0.0,0.0,0.0
gemini3f,decomposed,not_ai_system,1,0,0,0.0,0.0,0.0
gemini3f,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gemma27b,naive,minimal,7,3,0,0.0,0.0,0.0
gemma27b,naive,transparency,76,61,55,0.9016393442622951,0.7236842105263158,0.8029197080291971
gemma27b,naive,high,35,57,32,0.5614035087719298,0.9142857142857143,0.6956521739130435
gemma27b,naive,prohibited,9,9,1,0.1111111111111111,0.1111111111111111,0.1111111111111111
gemma27b,naive,not_ai_system,1,0,0,0.0,0.0,0.0
gemma27b,naive,insufficient_information,2,0,0,0.0,0.0,0.0
gemma27b,decomposed,minimal,7,9,2,0.2222222222222222,0.2857142857142857,0.25
gemma27b,decomposed,transparency,76,48,46,0.9583333333333334,0.6052631578947368,0.7419354838709677
gemma27b,decomposed,high,35,64,35,0.546875,1.0,0.7070707070707071
gemma27b,decomposed,prohibited,9,9,2,0.2222222222222222,0.2222222222222222,0.2222222222222222
gemma27b,decomposed,not_ai_system,1,0,0,0.0,0.0,0.0
gemma27b,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gpt52,naive,minimal,7,14,3,0.21428571428571427,0.42857142857142855,0.2857142857142857
gpt52,naive,transparency,76,69,63,0.9130434782608695,0.8289473684210527,0.8689655172413793
gpt52,naive,high,35,37,32,0.8648648648648649,0.9142857142857143,0.8888888888888888
gpt52,naive,prohibited,9,7,3,0.42857142857142855,0.3333333333333333,0.375
gpt52,naive,not_ai_system,1,1,1,1.0,1.0,1.0
gpt52,naive,insufficient_information,2,2,1,0.5,0.5,0.5
gpt52,decomposed,minimal,7,8,7,0.875,1.0,0.9333333333333333
gpt52,decomposed,transparency,76,66,58,0.8787878787878788,0.7631578947368421,0.8169014084507042
gpt52,decomposed,high,35,43,34,0.7906976744186046,0.9714285714285714,0.8717948717948718
gpt52,decomposed,prohibited,9,13,1,0.07692307692307693,0.1111111111111111,0.09090909090909091
gpt52,decomposed,not_ai_system,1,0,0,0.0,0.0,0.0
gpt52,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gpt56luna,naive,minimal,7,9,4,0.4444444444444444,0.5714285714285714,0.5
gpt56luna,naive,transparency,76,65,60,0.9230769230769231,0.7894736842105263,0.851063829787234
gpt56luna,naive,high,35,35,33,0.9428571428571428,0.9428571428571428,0.9428571428571428
gpt56luna,naive,prohibited,9,15,5,0.3333333333333333,0.5555555555555556,0.4166666666666667
gpt56luna,naive,not_ai_system,1,4,1,0.25,1.0,0.4
gpt56luna,naive,insufficient_information,2,2,2,1.0,1.0,1.0
gpt56luna,decomposed,minimal,7,6,5,0.8333333333333334,0.7142857142857143,0.7692307692307693
gpt56luna,decomposed,transparency,76,55,49,0.8909090909090909,0.6447368421052632,0.7480916030534351
gpt56luna,decomposed,high,35,36,34,0.9444444444444444,0.9714285714285714,0.9577464788732394
gpt56luna,decomposed,prohibited,9,32,5,0.15625,0.5555555555555556,0.24390243902439024
gpt56luna,decomposed,not_ai_system,1,1,0,0.0,0.0,0.0
gpt56luna,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
gpt56sol,naive,minimal,7,11,5,0.45454545454545453,0.7142857142857143,0.5555555555555556
gpt56sol,naive,transparency,76,60,56,0.9333333333333333,0.7368421052631579,0.8235294117647058
gpt56sol,naive,high,35,36,33,0.9166666666666666,0.9428571428571428,0.9295774647887324
gpt56sol,naive,prohibited,9,19,5,0.2631578947368421,0.5555555555555556,0.35714285714285715
gpt56sol,naive,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
gpt56sol,naive,insufficient_information,2,2,2,1.0,1.0,1.0
gpt56sol,decomposed,minimal,7,9,7,0.7777777777777778,1.0,0.875
gpt56sol,decomposed,transparency,76,51,47,0.9215686274509803,0.618421052631579,0.7401574803149606
gpt56sol,decomposed,high,35,33,31,0.9393939393939394,0.8857142857142857,0.9117647058823529
gpt56sol,decomposed,prohibited,9,35,7,0.2,0.7777777777777778,0.3181818181818182
gpt56sol,decomposed,not_ai_system,1,1,1,1.0,1.0,1.0
gpt56sol,decomposed,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
grok46,naive,minimal,7,9,5,0.5555555555555556,0.7142857142857143,0.625
grok46,naive,transparency,76,68,61,0.8970588235294118,0.8026315789473685,0.8472222222222222
grok46,naive,high,35,35,32,0.9142857142857143,0.9142857142857143,0.9142857142857143
grok46,naive,prohibited,9,14,3,0.21428571428571427,0.3333333333333333,0.2608695652173913
grok46,naive,not_ai_system,1,1,1,1.0,1.0,1.0
grok46,naive,insufficient_information,2,3,2,0.6666666666666666,1.0,0.8
grok46,decomposed,minimal,7,10,7,0.7,1.0,0.8235294117647058
grok46,decomposed,transparency,76,84,76,0.9047619047619048,1.0,0.95
grok46,decomposed,high,35,33,31,0.9393939393939394,0.8857142857142857,0.9117647058823529
grok46,decomposed,prohibited,9,3,2,0.6666666666666666,0.2222222222222222,0.3333333333333333
grok46,decomposed,not_ai_system,1,0,0,0.0,0.0,0.0
grok46,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
haiku45,naive,minimal,7,3,0,0.0,0.0,0.0
haiku45,naive,transparency,76,7,7,1.0,0.09210526315789473,0.1686746987951807
haiku45,naive,high,35,66,34,0.5151515151515151,0.9714285714285714,0.6732673267326733
haiku45,naive,prohibited,9,46,3,0.06521739130434782,0.3333333333333333,0.10909090909090909
haiku45,naive,not_ai_system,1,6,0,0.0,0.0,0.0
haiku45,naive,insufficient_information,2,2,2,1.0,1.0,1.0
haiku45,decomposed,minimal,7,9,2,0.2222222222222222,0.2857142857142857,0.25
haiku45,decomposed,transparency,76,72,64,0.8888888888888888,0.8421052631578947,0.8648648648648649
haiku45,decomposed,high,35,44,31,0.7045454545454546,0.8857142857142857,0.7848101265822784
haiku45,decomposed,prohibited,9,3,0,0.0,0.0,0.0
haiku45,decomposed,not_ai_system,1,0,0,0.0,0.0,0.0
haiku45,decomposed,insufficient_information,2,2,1,0.5,0.5,0.5
kimi25,naive,minimal,7,8,4,0.5,0.5714285714285714,0.5333333333333333
kimi25,naive,transparency,76,57,52,0.9122807017543859,0.6842105263157895,0.7819548872180451
kimi25,naive,high,35,43,34,0.7906976744186046,0.9714285714285714,0.8717948717948718
kimi25,naive,prohibited,9,19,4,0.21052631578947367,0.4444444444444444,0.2857142857142857
kimi25,naive,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
kimi25,naive,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
kimi25,decomposed,minimal,7,10,7,0.7,1.0,0.8235294117647058
kimi25,decomposed,transparency,76,80,72,0.9,0.9473684210526315,0.9230769230769231
kimi25,decomposed,high,35,37,33,0.8918918918918919,0.9428571428571428,0.9166666666666666
kimi25,decomposed,prohibited,9,2,1,0.5,0.1111111111111111,0.18181818181818182
kimi25,decomposed,not_ai_system,1,1,1,1.0,1.0,1.0
kimi25,decomposed,insufficient_information,2,0,0,0.0,0.0,0.0
kimi3,naive,minimal,7,13,4,0.3076923076923077,0.5714285714285714,0.4
kimi3,naive,transparency,76,54,51,0.9444444444444444,0.6710526315789473,0.7846153846153846
kimi3,naive,high,35,40,35,0.875,1.0,0.9333333333333333
kimi3,naive,prohibited,9,22,7,0.3181818181818182,0.7777777777777778,0.45161290322580644
kimi3,naive,not_ai_system,1,1,0,0.0,0.0,0.0
kimi3,naive,insufficient_information,2,0,0,0.0,0.0,0.0
kimi3,decomposed,minimal,7,9,7,0.7777777777777778,1.0,0.875
kimi3,decomposed,transparency,76,58,52,0.896551724137931,0.6842105263157895,0.7761194029850746
kimi3,decomposed,high,35,35,32,0.9142857142857143,0.9142857142857143,0.9142857142857143
kimi3,decomposed,prohibited,9,27,5,0.18518518518518517,0.5555555555555556,0.2777777777777778
kimi3,decomposed,not_ai_system,1,0,0,0.0,0.0,0.0
kimi3,decomposed,insufficient_information,2,1,0,0.0,0.0,0.0
qwen3827b,naive,minimal,7,9,5,0.5555555555555556,0.7142857142857143,0.625
qwen3827b,naive,transparency,76,67,61,0.9104477611940298,0.8026315789473685,0.8531468531468531
qwen3827b,naive,high,35,37,31,0.8378378378378378,0.8857142857142857,0.8611111111111112
qwen3827b,naive,prohibited,9,13,2,0.15384615384615385,0.2222222222222222,0.18181818181818182
qwen3827b,naive,not_ai_system,1,2,1,0.5,1.0,0.6666666666666666
qwen3827b,naive,insufficient_information,2,2,1,0.5,0.5,0.5
qwen3827b,decomposed,minimal,7,7,7,1.0,1.0,1.0
qwen3827b,decomposed,transparency,76,73,66,0.9041095890410958,0.868421052631579,0.8859060402684564
qwen3827b,decomposed,high,35,37,34,0.918918918918919,0.9714285714285714,0.9444444444444444
qwen3827b,decomposed,prohibited,9,11,3,0.2727272727272727,0.3333333333333333,0.3
qwen3827b,decomposed,not_ai_system,1,1,1,1.0,1.0,1.0
qwen3827b,decomposed,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
qwen38max,naive,minimal,7,8,4,0.5,0.5714285714285714,0.5333333333333333
qwen38max,naive,transparency,76,62,57,0.9193548387096774,0.75,0.8260869565217391
qwen38max,naive,high,35,39,34,0.8717948717948718,0.9714285714285714,0.918918918918919
qwen38max,naive,prohibited,9,18,4,0.2222222222222222,0.4444444444444444,0.2962962962962963
qwen38max,naive,not_ai_system,1,1,1,1.0,1.0,1.0
qwen38max,naive,insufficient_information,2,2,2,1.0,1.0,1.0
qwen38max,decomposed,minimal,7,6,6,1.0,0.8571428571428571,0.9230769230769231
qwen38max,decomposed,transparency,76,73,67,0.9178082191780822,0.881578947368421,0.8993288590604027
qwen38max,decomposed,high,35,36,33,0.9166666666666666,0.9428571428571428,0.9295774647887324
qwen38max,decomposed,prohibited,9,13,4,0.3076923076923077,0.4444444444444444,0.36363636363636365
qwen38max,decomposed,not_ai_system,1,1,1,1.0,1.0,1.0
qwen38max,decomposed,insufficient_information,2,1,1,1.0,0.5,0.6666666666666666
sonnet46,naive,minimal,7,16,3,0.1875,0.42857142857142855,0.2608695652173913
sonnet46,naive,transparency,76,25,24,0.96,0.3157894736842105,0.4752475247524752
sonnet46,naive,high,35,39,32,0.8205128205128205,0.9142857142857143,0.8648648648648649
sonnet46,naive,prohibited,9,47,6,0.1276595744680851,0.6666666666666666,0.21428571428571427
sonnet46,naive,not_ai_system,1,3,0,0.0,0.0,0.0
sonnet46,naive,insufficient_information,2,0,0,0.0,0.0,0.0
sonnet46,decomposed,minimal,7,8,3,0.375,0.42857142857142855,0.4
sonnet46,decomposed,transparency,76,64,58,0.90625,0.7631578947368421,0.8285714285714286
sonnet46,decomposed,high,35,49,34,0.6938775510204082,0.9714285714285714,0.8095238095238095
