condition,group,incidents,pairs,mean,lo,hi,up_pct,down_pct
naive,outside,102,1391,0.24442846872753415,0.11966785419044995,0.36725685796548496,20.9920920201294,9.417685118619698
naive,inside,26,363,-0.0027548209366391185,-0.09150529023490583,0.08911333097595467,6.887052341597796,6.887052341597796
naive,reference_minimal,7,86,0.9186046511627907,,,46.51162790697674,0.0
naive,reference_transparency,76,1055,0.3639810426540284,,,24.549763033175356,6.919431279620853
naive,reference_high,35,489,0.006134969325153374,,,3.6809815950920246,2.8629856850715747
naive,reference_prohibited,9,124,-1.0241935483870968,,,0.0,55.645161290322584
decomposed,outside,102,1411,0.12119064493267187,0.009442621806505659,0.22628469660327757,13.536498936924167,6.66194188518781
decomposed,inside,26,364,-0.06593406593406594,-0.1632735352205398,0.030612244897959183,5.21978021978022,9.615384615384615
decomposed,reference_minimal,7,97,0.44329896907216493,,,23.711340206185568,0.0
decomposed,reference_transparency,76,1062,0.263653483992467,,,16.384180790960453,1.8832391713747645
decomposed,reference_high,35,490,-0.0326530612244898,,,2.6530612244897958,4.285714285714286
decomposed,reference_prohibited,9,126,-1.2698412698412698,,,0.0,69.84126984126983
