model,name,condition,n,answered,auxiliary,n_ordinal,exact,exact_lo,exact_hi,macro_f1,f1_lo,f1_hi,qwk,qwk_lo,qwk_hi,common_n,paired_qwk,delta_qwk,delta_lo,delta_hi
gemini37f,Gemini 3.7 Flash,naive,130,130,2,127,0.8615384615384616,0.8,0.9153846153846154,0.751057737260402,0.4298640919224224,0.8452740037217168,0.5854373459463063,0.3773757693111257,0.7774246890295483,127,0.5854373459463063,0.16244883889304385,0.04061601722582722,0.31210486136189414
gemini37f,Gemini 3.7 Flash,decomposed,130,130,1,127,0.9153846153846154,0.8692307692307693,0.9615384615384616,0.7056590752242927,0.48450080298686465,0.7595961347105328,0.7478861848393501,0.5844667608177762,0.8983084586020943,127,0.7478861848393501,0.16244883889304385,0.04061601722582722,0.31210486136189414
gemini3f,Gemini 3 Flash,naive,130,128,0,125,0.8153846153846154,0.7461538461538462,0.8769230769230769,0.36218422927283683,0.29057649067288477,0.41742489150608625,0.4861660079051382,0.2775761985374322,0.6859454149480801,125,0.4861660079051382,-0.038736000104150126,-0.31121573627624666,0.21165248675493253
gemini3f,Gemini 3 Flash,decomposed,130,130,0,127,0.8307692307692308,0.7615384615384615,0.8923076923076924,0.32988616321949654,0.2781678636025296,0.3963064263637945,0.4501231004329743,0.23112870399293486,0.6747015617678846,125,0.44743000780098807,-0.038736000104150126,-0.31121573627624666,0.21165248675493253
gemma27b,Gemma 3 27B,naive,130,130,0,127,0.676923076923077,0.5923076923076923,0.7538461538461538,0.2682804988422253,0.22919874215474365,0.31334327063509126,0.2579849389768891,0.10283646389528585,0.4296929760514018,127,0.2579849389768891,0.04421286322091311,-0.15309422548148377,0.23910828055124622
gemma27b,Gemma 3 27B,decomposed,130,130,0,127,0.6538461538461539,0.5767307692307694,0.7307692307692307,0.32020473552731615,0.24799314297435499,0.38795387326064157,0.30219780219780223,0.1190405838438257,0.4822165349892662,127,0.30219780219780223,0.04421286322091311,-0.15309422548148377,0.23910828055124622
gpt52,GPT-5.2,naive,130,130,3,126,0.7923076923076923,0.7230769230769231,0.8615384615384616,0.6530947819740923,0.36483152622621634,0.7554243862420185,0.5025692442661986,0.3015047185028635,0.6887101375919559,126,0.5025692442661986,-0.10264251328561491,-0.30569982263982026,0.11078532149290007
gpt52,GPT-5.2,decomposed,130,130,0,127,0.7692307692307693,0.6923076923076923,0.8384615384615385,0.45215645074800004,0.40607350936433667,0.4947114463392685,0.4178420310296189,0.23478930759954209,0.5949378956159779,126,0.39992673098058373,-0.10264251328561491,-0.30569982263982026,0.11078532149290007
gpt56luna,GPT-5.6 Luna,naive,130,130,6,124,0.8076923076923077,0.7384615384615385,0.8692307692307693,0.6850979398851739,0.4474427473829667,0.7929159886448918,0.5239923224568139,0.3395209815106062,0.6988735760414314,124,0.5239923224568139,-0.25130001476450614,-0.42628458583527445,-0.08224604202297013
gpt56luna,GPT-5.6 Luna,decomposed,130,130,1,126,0.7153846153846154,0.6384615384615384,0.7923076923076923,0.4531618816969723,0.3788389345994176,0.5080881915564975,0.2763241863433311,0.1058782465539268,0.4494936880783327,124,0.2726923076923078,-0.25130001476450614,-0.42628458583527445,-0.08224604202297013
