rule,reference_value,incidents,pairs,matches,agreement
annex_i,no,126,1764,1705,0.9665532879818595
annex_i,unclear,3,42,7,0.16666666666666666
annex_i,yes,15,210,209,0.9952380952380953
annex_iii,biometrics,13,182,111,0.6098901098901099
annex_iii,education,1,14,14,1.0
annex_iii,employment,2,28,28,1.0
annex_iii,essential_services,6,84,82,0.9761904761904762
annex_iii,justice_democracy,1,14,12,0.8571428571428571
annex_iii,law_enforcement,3,42,28,0.6666666666666666
annex_iii,migration,7,98,76,0.7755102040816326
annex_iii,none,109,1526,1365,0.8944954128440367
annex_iii,unclear,2,28,0,0.0
art5,no,129,1806,1481,0.8200442967884828
art5,unclear,5,70,12,0.17142857142857143
art5,yes,10,140,51,0.36428571428571427
art50,no,55,770,687,0.8922077922077922
art50,unclear,2,28,5,0.17857142857142858
art50,yes,87,1218,1182,0.9704433497536946
derogation,applies,1,14,2,0.14285714285714285
derogation,does_not_apply,29,406,320,0.7881773399014779
derogation,not_applicable,112,1568,1482,0.9451530612244898
derogation,unclear,2,28,0,0.0
profiling,no,14,196,101,0.5153061224489796
profiling,not_applicable,113,1582,1428,0.9026548672566371
profiling,unclear,2,28,0,0.0
profiling,yes,15,210,176,0.8380952380952381
