rule,reference_value,prediction,count
annex_i,no,__missing__,1
annex_i,no,no,1705
annex_i,no,not_applicable,6
annex_i,no,unclear,45
annex_i,no,yes,7
annex_i,unclear,no,28
annex_i,unclear,unclear,7
annex_i,unclear,yes,7
annex_i,yes,__missing__,1
annex_i,yes,yes,209
annex_iii,biometrics,biometrics,111
annex_iii,biometrics,education,1
annex_iii,biometrics,law_enforcement,47
annex_iii,biometrics,migration,8
annex_iii,biometrics,none,12
annex_iii,biometrics,not_applicable,2
annex_iii,biometrics,unclear,1
annex_iii,education,education,14
annex_iii,employment,employment,28
annex_iii,essential_services,essential_services,82
annex_iii,essential_services,none,2
annex_iii,justice_democracy,justice_democracy,12
annex_iii,justice_democracy,none,2
annex_iii,law_enforcement,critical_infrastructure,1
annex_iii,law_enforcement,law_enforcement,28
annex_iii,law_enforcement,migration,1
annex_iii,law_enforcement,none,12
annex_iii,migration,biometrics,4
annex_iii,migration,migration,76
annex_iii,migration,none,17
annex_iii,migration,not_applicable,1
annex_iii,none,__missing__,1
annex_iii,none,biometrics,1
annex_iii,none,critical_infrastructure,34
annex_iii,none,education,11
annex_iii,none,employment,5
annex_iii,none,essential_services,13
annex_iii,none,justice_democracy,60
annex_iii,none,law_enforcement,2
annex_iii,none,migration,1
annex_iii,none,none,1365
annex_iii,none,not_applicable,32
annex_iii,none,unclear,1
annex_iii,unclear,law_enforcement,1
annex_iii,unclear,none,27
art5,no,__missing__,1
art5,no,no,1481
art5,no,not_applicable,2
art5,no,unclear,175
art5,no,yes,147
art5,unclear,no,53
art5,unclear,unclear,12
art5,unclear,yes,5
art5,yes,no,54
art5,yes,unclear,35
art5,yes,yes,51
art50,no,__missing__,1
art50,no,no,687
art50,no,not_applicable,2
art50,no,unclear,6
art50,no,yes,74
art50,unclear,no,5
art50,unclear,unclear,5
art50,unclear,yes,18
art50,yes,no,34
art50,yes,unclear,2
art50,yes,yes,1182
derogation,applies,applies,2
derogation,applies,does_not_apply,6
derogation,applies,not_applicable,6
derogation,does_not_apply,applies,7
derogation,does_not_apply,does_not_apply,320
derogation,does_not_apply,not_applicable,79
derogation,not_applicable,__missing__,1
derogation,not_applicable,applies,1
derogation,not_applicable,does_not_apply,83
derogation,not_applicable,not_applicable,1482
derogation,not_applicable,unclear,1
derogation,unclear,not_applicable,28
profiling,no,no,101
profiling,no,not_applicable,61
profiling,no,yes,34
profiling,not_applicable,__missing__,1
profiling,not_applicable,no,97
profiling,not_applicable,not_applicable,1428
profiling,not_applicable,unclear,2
profiling,not_applicable,yes,54
profiling,unclear,no,1
profiling,unclear,not_applicable,26
profiling,unclear,yes,1
profiling,yes,no,20
profiling,yes,not_applicable,11
profiling,yes,unclear,3
profiling,yes,yes,176
